Deployment_Frequency,CI_CD_Failures,System_Reliability_Score
7,2,100.0
20,7,100.0
15,5,100.0
11,2,100.0
8,0,100.0
7,2,100.0
19,4,100.0
11,2,100.0
11,0,100.0
4,4,90.0
8,9,76.0
3,6,80.5
2,6,79.0
12,8,86.0
6,9,73.0
2,9,67.0
1,2,93.5
12,6,94.0
12,0,100.0
17,3,100.0
10,3,100.0
16,4,100.0
15,6,98.5
15,6,98.5
19,3,100.0
12,6,94.0
20,2,100.0
3,5,84.5
5,1,100.0
19,9,92.5
7,8,78.5
9,4,97.5
7,5,90.5
18,3,100.0
4,9,70.0
14,6,97.0
18,8,95.0
9,6,89.5
2,0,100.0
20,0,100.0
15,8,90.5
7,8,78.5
12,3,100.0
8,8,80.0
15,2,100.0
3,6,80.5
14,5,100.0
17,7,97.5
4,8,74.0
18,4,100.0
8,0,100.0
4,2,98.0
2,9,67.0
6,7,81.0
10,5,95.0
4,7,78.0
18,8,95.0
12,3,100.0
2,0,100.0
10,0,100.0
4,9,70.0
14,3,100.0
16,6,100.0
15,1,100.0
8,2,100.0
14,0,100.0
8,4,96.0
16,0,100.0
13,7,91.5
18,0,100.0
15,0,100.0
13,1,100.0
9,1,100.0
15,5,100.0
13,6,95.5
1,4,85.5
7,0,100.0
9,0,100.0
1,2,93.5
12,1,100.0
8,4,96.0
11,9,80.5
19,5,100.0
17,6,100.0
8,3,100.0
3,6,80.5
3,7,76.5
1,0,100.0
5,5,87.5
10,7,87.0
7,4,94.5
9,3,100.0
7,1,100.0
9,5,93.5
8,5,92.0
12,0,100.0
2,8,71.0
1,5,81.5
16,2,100.0
5,3,95.5
